DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti
2024-08-07 16:00:00,33.64,"32,7","34,5","43,28",2024-08-07,0
2024-08-07 17:00:00,31.96,"30,8","34,3","47,32",2024-08-07,0
2024-08-07 18:00:00,30.08,"29,4","30,7","52,65",2024-08-07,0
2024-08-07 19:00:00,28.7,"28,2","29,2","57,89",2024-08-07,0
2024-08-07 20:00:00,26.87,"21,9","28,2","63,19",2024-08-07,0
2024-08-07 21:00:00,19.79,"19,2","21,4","90,87",2024-08-07,0
2024-08-07 22:00:00,19.55,"19,3","19,6","96,14",2024-08-07,0
2024-08-07 23:00:00,19.43,"19,3","19,6","96,55",2024-08-07,0
2024-08-08 00:00:00,19.59,"19,3","19,9","93,85",2024-08-08,0
2024-08-08 01:00:00,19.72,"19,2",20,"91,07",2024-08-08,0
2024-08-08 02:00:00,19.05,"18,8","19,5","93,6",2024-08-08,0
2024-08-08 03:00:00,19.11,19,"19,4","91,57",2024-08-08,0
2024-08-08 04:00:00,18.2,"17,6","18,9","94,45",2024-08-08,0
2024-08-08 05:00:00,18.17,"17,7","18,5","92,67",2024-08-08,0
2024-08-08 06:00:00,18.43,"18,2","18,6","88,36",2024-08-08,0
2024-08-08 07:00:00,19.55,"18,7","21,6","81,93",2024-08-08,0
2024-08-08 08:00:00,23.36,"21,9","24,6","67,58",2024-08-08,0
2024-08-08 09:00:00,25.93,"24,4","27,6","61,94",2024-08-08,0
2024-08-08 10:00:00,29.75,"28,1","30,7","50,57",2024-08-08,0
2024-08-08 11:00:00,30.35,"29,6","31,1","48,72",2024-08-08,0
2024-08-08 12:00:00,31.0,"30,5","31,7","45,89",2024-08-08,0
2024-08-08 13:00:00,31.86,"31,5","32,4","44,58",2024-08-08,0
2024-08-08 14:00:00,32.65,"32,1","33,2","43,79",2024-08-08,0
2024-08-08 15:00:00,33.36,"32,9","33,8","40,75",2024-08-08,0
2024-08-08 16:00:00,34.05,"33,8","34,3","38,55",2024-08-08,0
2024-08-08 17:00:00,33.82,"33,6",34,"38,5",2024-08-08,0
2024-08-08 18:00:00,33.66,"33,1","34,4","39,16",2024-08-08,0
2024-08-08 19:00:00,33.04,32,"33,9","41,82",2024-08-08,0
2024-08-08 20:00:00,30.21,28,"31,7","48,43",2024-08-08,0
2024-08-08 21:00:00,27.07,"26,7","27,6","61,75",2024-08-08,0
2024-08-08 22:00:00,25.47,"24,2","26,6","72,37",2024-08-08,0
2024-08-08 23:00:00,23.49,"22,8",24,"79,16",2024-08-08,0
2024-08-09 00:00:00,22.74,"22,4","23,3","83,64",2024-08-09,0
2024-08-09 01:00:00,21.82,"21,3","22,3","86,97",2024-08-09,0
2024-08-09 02:00:00,21.65,"21,5","21,8","84,83",2024-08-09,0
2024-08-09 03:00:00,21.49,"21,3","21,7","84,73",2024-08-09,0
2024-08-09 04:00:00,22.01,"21,3","22,5","81,22",2024-08-09,0
2024-08-09 05:00:00,21.55,"20,7","22,2","82,34",2024-08-09,0
2024-08-09 06:00:00,20.78,"19,9","21,4","85,96",2024-08-09,0
2024-08-09 07:00:00,20.84,"19,8","23,2","87,79",2024-08-09,0
2024-08-09 08:00:00,25.12,"23,7","26,3","70,52",2024-08-09,0
2024-08-09 09:00:00,27.93,"26,5","29,7","61,57",2024-08-09,0
2024-08-09 10:00:00,31.05,"29,7","31,9","53,16",2024-08-09,0
2024-08-09 11:00:00,31.92,"31,4","32,8","47,9",2024-08-09,0
2024-08-09 12:00:00,33.05,"32,2","33,7","42,3",2024-08-09,0
2024-08-09 13:00:00,34.45,34,"34,8","38,19",2024-08-09,0
2024-08-09 14:00:00,35.35,"34,7","36,1","33,35",2024-08-09,0
2024-08-09 15:00:00,35.97,"35,5","36,3","32,95",2024-08-09,0
2024-08-09 16:00:00,35.88,"35,5","36,2","35,02",2024-08-09,0
2024-08-09 17:00:00,35.32,"34,9","35,8","40,6",2024-08-09,0
2024-08-09 18:00:00,34.16,"33,7","35,1","43,5",2024-08-09,0
2024-08-09 19:00:00,32.65,"31,9",34,"44,61",2024-08-09,0
2024-08-09 20:00:00,30.35,"29,1","31,5","49,72",2024-08-09,0
2024-08-09 21:00:00,27.65,"26,3","28,8","57,95",2024-08-09,0
2024-08-09 22:00:00,25.07,"24,7","25,9","68,03",2024-08-09,0
2024-08-09 23:00:00,23.85,"23,5","24,6","74,27",2024-08-09,0
2024-08-10 00:00:00,24.33,"23,6","25,1",75,2024-08-10,0
2024-08-10 01:00:00,24.17,24,"24,5","75,38",2024-08-10,0
2024-08-10 02:00:00,23.7,"23,1","24,3","77,63",2024-08-10,0
2024-08-10 03:00:00,23.9,"22,7","24,5","75,05",2024-08-10,0
2024-08-10 04:00:00,22.88,"22,5","23,3","76,9",2024-08-10,0
2024-08-10 05:00:00,22.2,"21,6","23,4","78,3",2024-08-10,0
2024-08-10 06:00:00,22.55,"22,2","23,2","75,14",2024-08-10,0
2024-08-10 07:00:00,22.85,22,"25,3","73,97",2024-08-10,0
2024-08-10 08:00:00,26.65,"25,8","27,4","61,69",2024-08-10,0
2024-08-10 09:00:00,29.14,"27,6","30,6","56,98",2024-08-10,0
2024-08-10 10:00:00,32.33,"30,9","33,2","49,05",2024-08-10,0
2024-08-10 11:00:00,33.3,"32,7","34,1","43,11",2024-08-10,0
2024-08-10 12:00:00,34.8,"33,9","35,7","38,71",2024-08-10,0
2024-08-10 13:00:00,35.38,"34,8","36,3","37,74",2024-08-10,0
2024-08-10 14:00:00,36.03,"35,4","36,7","36,95",2024-08-10,0
2024-08-10 15:00:00,35.91,"35,5","36,4","36,7",2024-08-10,0
2024-08-10 16:00:00,36.55,36,"37,3","35,46",2024-08-10,0
2024-08-10 17:00:00,36.27,"35,4","36,7","35,65",2024-08-10,0
2024-08-10 18:00:00,35.53,"34,9",36,"39,28",2024-08-10,0
2024-08-10 19:00:00,34.14,"32,5","35,3","39,83",2024-08-10,0
2024-08-10 20:00:00,30.88,"29,4","32,3","47,54",2024-08-10,0
2024-08-10 21:00:00,28.63,"27,8","29,4","52,32",2024-08-10,0
2024-08-10 22:00:00,25.99,"24,7","27,6","61,37",2024-08-10,0
2024-08-10 23:00:00,24.08,"23,6","24,6","70,63",2024-08-10,0
2024-08-11 00:00:00,24.17,24,"24,4","72,75",2024-08-11,0
2024-08-11 01:00:00,25.08,"24,4","25,5","68,63",2024-08-11,0
2024-08-11 02:00:00,24.77,"24,4","25,3","69,18",2024-08-11,0
2024-08-11 03:00:00,25.15,"24,6","25,4","67,18",2024-08-11,0
2024-08-11 04:00:00,24.16,"23,7","24,4","70,41",2024-08-11,0
2024-08-11 05:00:00,24.0,"23,5","24,3","70,08",2024-08-11,0
2024-08-11 06:00:00,23.29,"22,5","24,2","72,57",2024-08-11,0
2024-08-11 07:00:00,23.05,"22,5","24,8","75,63",2024-08-11,0
2024-08-11 08:00:00,26.9,"25,3","28,1","63,73",2024-08-11,0
2024-08-11 09:00:00,29.96,"28,3","31,4","52,97",2024-08-11,0
2024-08-11 10:00:00,33.12,"31,7","34,3","41,09",2024-08-11,0
2024-08-11 11:00:00,33.99,"33,6","34,6","38,51",2024-08-11,0
2024-08-11 12:00:00,35.56,"34,8","36,4","34,48",2024-08-11,0
2024-08-11 13:00:00,36.38,"35,9","36,8","32,04",2024-08-11,0
2024-08-11 14:00:00,37.03,"36,4","37,7","31,14",2024-08-11,0
2024-08-11 15:00:00,37.47,"36,7","38,4","31,74",2024-08-11,0
2024-08-11 16:00:00,37.51,"37,1","37,8","31,63",2024-08-11,0
2024-08-11 17:00:00,37.15,"36,2","38,2","32,86",2024-08-11,0
2024-08-11 18:00:00,35.32,"34,4","36,1","41,21",2024-08-11,0
2024-08-11 19:00:00,33.65,"33,1","34,3","39,81",2024-08-11,0
2024-08-11 20:00:00,31.61,"30,3","33,1","44,53",2024-08-11,0
2024-08-11 21:00:00,28.59,"27,3","29,9","53,48",2024-08-11,0
2024-08-11 22:00:00,25.75,"24,9","27,2","62,99",2024-08-11,0
2024-08-11 23:00:00,25.57,"25,1","26,1","66,46",2024-08-11,0
2024-08-12 00:00:00,25.96,"25,7","26,2","65,34",2024-08-12,0
2024-08-12 01:00:00,26.13,"25,9","26,4","63,8",2024-08-12,0
2024-08-12 02:00:00,25.91,"25,7","26,1","63,86",2024-08-12,0
2024-08-12 03:00:00,24.57,"24,1","25,6","67,88",2024-08-12,0
2024-08-12 04:00:00,23.36,"23,2","23,8","72,07",2024-08-12,0
2024-08-12 05:00:00,23.44,"23,2","23,7","70,77",2024-08-12,0
2024-08-12 06:00:00,23.56,"22,9","23,8",69,2024-08-12,0
2024-08-12 07:00:00,23.67,"22,7","25,5","68,68",2024-08-12,0
2024-08-12 08:00:00,27.17,"25,8","28,2","58,21",2024-08-12,0
2024-08-12 09:00:00,30.8,"28,4","33,3","49,55",2024-08-12,0
2024-08-12 10:00:00,34.29,"33,9","34,6","40,55",2024-08-12,0
2024-08-12 11:00:00,34.51,"34,2","34,8","39,52",2024-08-12,0
2024-08-12 12:00:00,35.66,"34,8","36,4","36,31",2024-08-12,0
2024-08-12 13:00:00,36.85,"36,6","37,3","32,84",2024-08-12,0
2024-08-12 14:00:00,37.7,"37,3","38,1","31,38",2024-08-12,0
2024-08-12 15:00:00,38.55,38,39,"29,52",2024-08-12,0
2024-08-12 16:00:00,38.83,"38,5","39,2","28,93",2024-08-12,0
2024-08-12 17:00:00,37.29,"35,6","39,2","31,24",2024-08-12,0
2024-08-12 18:00:00,34.84,"34,3","35,5","36,25",2024-08-12,0
2024-08-12 19:00:00,33.07,"32,2","34,2","40,05",2024-08-12,0
2024-08-12 20:00:00,31.37,"30,5","32,1","43,56",2024-08-12,0
2024-08-12 21:00:00,28.66,27,"30,3","51,28",2024-08-12,0
2024-08-12 22:00:00,27.24,"26,9","27,5","58,62",2024-08-12,0
2024-08-12 23:00:00,27.01,"26,9","27,2","59,61",2024-08-12,0
2024-08-13 00:00:00,26.57,"26,3","26,9","60,25",2024-08-13,0
2024-08-13 01:00:00,26.14,"26,1","26,2","60,63",2024-08-13,0
2024-08-13 02:00:00,26.21,"25,8","26,4","59,8",2024-08-13,0
2024-08-13 03:00:00,25.59,"25,4","25,7","61,59",2024-08-13,0
2024-08-13 04:00:00,25.25,25,"25,4","62,3",2024-08-13,0
2024-08-13 05:00:00,24.63,"23,3","25,3","64,67",2024-08-13,0
2024-08-13 06:00:00,22.62,"22,3","23,4","72,38",2024-08-13,0
2024-08-13 07:00:00,24.22,"23,6","25,2","67,16",2024-08-13,0
2024-08-13 08:00:00,27.2,"25,7","28,4","58,08",2024-08-13,0
2024-08-13 09:00:00,30.97,"28,9","32,3","48,39",2024-08-13,0
2024-08-13 10:00:00,33.61,"32,7","34,7","43,72",2024-08-13,0
2024-08-13 11:00:00,34.49,"33,8","35,2","42,67",2024-08-13,0
2024-08-13 12:00:00,35.97,"35,6","36,5","38,97",2024-08-13,0
2024-08-13 13:00:00,34.11,"33,8","35,1","42,41",2024-08-13,0
2024-08-13 14:00:00,37.23,"34,8","38,4","36,24",2024-08-13,0
2024-08-13 15:00:00,38.19,"37,6","38,7","32,21",2024-08-13,0
2024-08-13 16:00:00,37.09,"36,2",38,"35,43",2024-08-13,0
2024-08-13 17:00:00,36.85,"36,6","37,4","37,58",2024-08-13,0
2024-08-13 18:00:00,34.27,"31,1","37,2","39,37",2024-08-13,0
2024-08-13 19:00:00,30.15,"29,4",31,"42,76",2024-08-13,0
2024-08-13 20:00:00,28.88,"28,6","29,4","50,62",2024-08-13,0
2024-08-13 21:00:00,27.93,"26,7","28,6","55,85",2024-08-13,0
2024-08-13 22:00:00,26.76,"26,2","27,7","61,92",2024-08-13,0
2024-08-13 23:00:00,25.9,25,"27,7","66,77",2024-08-13,0
2024-08-14 00:00:00,26.41,"26,1","26,7","58,75",2024-08-14,0
2024-08-14 01:00:00,26.62,"26,2","26,8","54,3",2024-08-14,0
2024-08-14 02:00:00,26.97,"26,5","27,2","53,08",2024-08-14,0
2024-08-14 03:00:00,26.91,"26,8","27,1","53,53",2024-08-14,0
2024-08-14 04:00:00,25.2,"24,2","26,9","59,6",2024-08-14,0
